City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,omdurman,15.6445,32.4777,32.18,18,98,1.71,SD,1682380610
260,pestravka,52.405,49.9583,13.07,74,88,2.22,RU,1682380611
261,flin flon,54.7682,-101.865,6.91,23,40,3.09,CA,1682380356
262,trondheim,63.4305,10.3951,1.05,85,100,2.48,NO,1682380327
263,enewetak,11.3474,162.3373,25.95,88,100,7.96,MH,1682380612
264,brandon,27.9378,-82.2859,24.96,80,100,3.6,US,1682380612
265,atafu village,-8.5421,-172.5159,29.24,71,58,4.4,TK,1682380613
266,arkhangel'sk,64.5401,40.5433,0.06,100,100,2.0,RU,1682380613
267,peace river,56.2501,-117.286,14.17,41,100,3.09,CA,1682380613
268,buka,40.8108,69.1986,15.39,57,31,2.02,UZ,1682380614
269,gamboula,4.1178,15.1393,20.38,98,84,1.51,CF,1682380614
270,broome,42.2506,-75.833,8.21,79,75,3.6,US,1682380615
271,zemio,5.0314,25.1361,21.78,76,13,1.22,CF,1682380615
272,kailua-kona,19.6406,-155.9956,27.98,75,40,4.12,US,1682380615
273,kavaratti,10.5669,72.642,27.87,71,57,3.66,IN,1682380616
274,dumas,35.8656,-101.9732,11.45,62,0,4.63,US,1682380616
275,opuwo,-18.0607,13.84,21.05,55,7,0.15,NA,1682380617
276,jamestown,42.097,-79.2353,5.77,67,40,7.2,US,1682380617
277,barentu,15.1139,37.5928,28.03,32,88,2.49,ER,1682380618
278,carutapera,-1.195,-46.02,25.2,85,85,2.74,BR,1682380618
279,yanykurgan,43.915,67.2481,15.73,40,4,9.94,KZ,1682380618
280,trairi,-3.2778,-39.2689,24.91,89,60,2.07,BR,1682380578
281,cidreira,-30.1811,-50.2056,21.97,81,4,8.25,BR,1682380619
282,yunak,38.8142,31.7322,8.0,51,12,1.07,TR,1682380620
283,tela,15.7833,-87.45,29.97,70,40,4.12,HN,1682380621
284,san matias,-16.3667,-58.4,23.95,86,9,1.37,BO,1682380622
285,ploneour-lanvern,47.9,-4.2833,7.18,87,0,1.54,FR,1682380622
286,yankton,42.8711,-97.3973,16.14,21,20,4.12,US,1682380289
287,geraldton,-28.7667,114.6,13.23,94,100,3.09,AU,1682380623
288,muisne,0.6,-80.0333,26.03,84,10,2.11,EC,1682380624
289,crane,31.3974,-102.3501,18.19,56,38,8.01,US,1682380624
290,vila franca do campo,37.7167,-25.4333,17.23,97,100,3.58,PT,1682380625
291,vilyuysk,63.7553,121.6247,-4.8,92,100,4.05,RU,1682380626
292,energetik,51.7445,58.7934,11.1,58,96,0.93,RU,1682380626
293,ocos,14.5094,-92.1933,29.2,70,85,5.28,GT,1682380627
294,brezovica,46.0333,14.4,8.64,94,98,0.48,SI,1682380627
295,lihue,21.9789,-159.3672,25.58,91,100,3.09,US,1682380628
296,hadibu,12.65,54.0333,27.3,74,26,1.97,YE,1682380628
297,santa ana,33.7456,-117.8678,25.91,67,20,5.14,US,1682380591
298,mancio lima,-7.6142,-72.8958,23.04,100,100,2.06,BR,1682380629
299,progreso,21.2833,-89.6667,32.28,74,100,4.81,MX,1682380630
300,bubaque,11.2833,-15.8333,25.97,67,37,5.44,GW,1682380630
301,oistins,13.0667,-59.5333,26.48,75,91,4.25,BB,1682380630
302,happy valley-goose bay,53.3168,-60.3315,8.17,57,75,2.57,CA,1682380504
303,coquimbo,-29.9533,-71.3436,14.85,94,20,3.6,CL,1682380631
304,dunedin,-45.8742,170.5036,17.82,43,91,7.81,NZ,1682380632
305,hasaki,35.7333,140.8333,16.27,48,32,4.16,JP,1682380633
306,nantucket,41.2835,-70.0995,10.08,93,100,2.06,US,1682380598
307,colonia,50.9333,6.95,7.75,82,0,0.51,DE,1682380545
308,bardai,11.65,7.2333,25.87,43,99,1.26,NG,1682380634
309,gastonia,35.2621,-81.1873,17.83,56,0,0.0,US,1682380441
310,vrangel',42.7297,133.0839,6.41,76,100,3.0,RU,1682380635
311,luderitz,-26.6481,15.1594,16.8,88,0,4.66,NA,1682380635
312,isafjordur,66.0755,-23.124,-1.14,64,94,3.95,IS,1682380636
313,tazacorte,28.629,-17.9293,18.54,88,0,4.12,ES,1682380636
